hotel_name,review_idx,aspect,sentiment
AnkAkyaka Apart Hotel,0,room,negative
AnkAkyaka Apart Hotel,0,service,negative
AnkAkyaka Apart Hotel,0,location,negative
AnkAkyaka Apart Hotel,0,price,negative
AnkAkyaka Apart Hotel,0,food,negative
AnkAkyaka Apart Hotel,0,Beach & Water,negative
AnkAkyaka Apart Hotel,0,Accommodation & Facilities,negative
AnkAkyaka Apart Hotel,0,Service & Social Experience,negative
AnkAkyaka Apart Hotel,0,Leisure & Meals,negative
AnkAkyaka Apart Hotel,1,room,negative
AnkAkyaka Apart Hotel,1,service,negative
AnkAkyaka Apart Hotel,1,location,positive
AnkAkyaka Apart Hotel,1,price,negative
AnkAkyaka Apart Hotel,1,food,negative
AnkAkyaka Apart Hotel,1,Beach & Water,negative
AnkAkyaka Apart Hotel,1,Accommodation & Facilities,negative
AnkAkyaka Apart Hotel,1,Service & Social Experience,negative
AnkAkyaka Apart Hotel,1,Leisure & Meals,negative
AnkAkyaka Apart Hotel,2,room,positive
AnkAkyaka Apart Hotel,2,service,positive
AnkAkyaka Apart Hotel,2,location,positive
AnkAkyaka Apart Hotel,2,price,positive
AnkAkyaka Apart Hotel,2,food,positive
AnkAkyaka Apart Hotel,2,Beach & Water,positive
AnkAkyaka Apart Hotel,2,Accommodation & Facilities,positive
AnkAkyaka Apart Hotel,2,Service & Social Experience,positive
AnkAkyaka Apart Hotel,2,Leisure & Meals,positive
AnkAkyaka Apart Hotel,3,room,positive
AnkAkyaka Apart Hotel,3,service,positive
AnkAkyaka Apart Hotel,3,location,positive
AnkAkyaka Apart Hotel,3,price,positive
AnkAkyaka Apart Hotel,3,food,positive
AnkAkyaka Apart Hotel,3,Beach & Water,positive
AnkAkyaka Apart Hotel,3,Accommodation & Facilities,positive
AnkAkyaka Apart Hotel,3,Service & Social Experience,positive
AnkAkyaka Apart Hotel,3,Leisure & Meals,positive
AnkAkyaka Apart Hotel,4,room,positive
AnkAkyaka Apart Hotel,4,service,positive
AnkAkyaka Apart Hotel,4,location,positive
AnkAkyaka Apart Hotel,4,price,positive
AnkAkyaka Apart Hotel,4,food,positive
AnkAkyaka Apart Hotel,4,Beach & Water,positive
AnkAkyaka Apart Hotel,4,Accommodation & Facilities,positive
AnkAkyaka Apart Hotel,4,Service & Social Experience,positive
AnkAkyaka Apart Hotel,4,Leisure & Meals,positive
AnkAkyaka Apart Hotel,5,room,positive
AnkAkyaka Apart Hotel,5,service,positive
AnkAkyaka Apart Hotel,5,location,positive
AnkAkyaka Apart Hotel,5,price,positive
AnkAkyaka Apart Hotel,5,food,positive
AnkAkyaka Apart Hotel,5,Beach & Water,positive
AnkAkyaka Apart Hotel,5,Accommodation & Facilities,positive
AnkAkyaka Apart Hotel,5,Service & Social Experience,positive
AnkAkyaka Apart Hotel,5,Leisure & Meals,positive
AnkAkyaka Apart Hotel,6,room,positive
AnkAkyaka Apart Hotel,6,service,positive
AnkAkyaka Apart Hotel,6,location,positive
AnkAkyaka Apart Hotel,6,price,positive
AnkAkyaka Apart Hotel,6,food,positive
AnkAkyaka Apart Hotel,6,Beach & Water,positive
AnkAkyaka Apart Hotel,6,Accommodation & Facilities,positive
AnkAkyaka Apart Hotel,6,Service & Social Experience,positive
AnkAkyaka Apart Hotel,6,Leisure & Meals,positive
AnkAkyaka Apart Hotel,7,room,positive
AnkAkyaka Apart Hotel,7,service,positive
AnkAkyaka Apart Hotel,7,location,positive
AnkAkyaka Apart Hotel,7,price,positive
AnkAkyaka Apart Hotel,7,food,positive
AnkAkyaka Apart Hotel,7,Beach & Water,positive
AnkAkyaka Apart Hotel,7,Accommodation & Facilities,positive
AnkAkyaka Apart Hotel,7,Service & Social Experience,positive
AnkAkyaka Apart Hotel,7,Leisure & Meals,positive
AnkAkyaka Apart Hotel,8,room,negative
AnkAkyaka Apart Hotel,8,service,positive
AnkAkyaka Apart Hotel,8,location,positive
AnkAkyaka Apart Hotel,8,price,positive
AnkAkyaka Apart Hotel,8,food,positive
AnkAkyaka Apart Hotel,8,Beach & Water,positive
AnkAkyaka Apart Hotel,8,Accommodation & Facilities,positive
AnkAkyaka Apart Hotel,8,Service & Social Experience,positive
AnkAkyaka Apart Hotel,8,Leisure & Meals,positive
AnkAkyaka Apart Hotel,9,room,positive
AnkAkyaka Apart Hotel,9,service,positive
AnkAkyaka Apart Hotel,9,location,positive
AnkAkyaka Apart Hotel,9,price,positive
AnkAkyaka Apart Hotel,9,food,positive
AnkAkyaka Apart Hotel,9,Beach & Water,positive
AnkAkyaka Apart Hotel,9,Accommodation & Facilities,positive
AnkAkyaka Apart Hotel,9,Service & Social Experience,positive
