hotel_name,aspect,sentiment
AnkAkyaka Apart Hotel,pool_beach,negative
AnkAkyaka Apart Hotel,breakfast_quality,negative
AnkAkyaka Apart Hotel,cleanliness,negative
AnkAkyaka Apart Hotel,room_facilities,negative
AnkAkyaka Apart Hotel,pool_beach,negative
AnkAkyaka Apart Hotel,breakfast_quality,negative
AnkAkyaka Apart Hotel,cleanliness,negative
AnkAkyaka Apart Hotel,room_facilities,negative
AnkAkyaka Apart Hotel,pool_beach,positive
AnkAkyaka Apart Hotel,breakfast_quality,positive
AnkAkyaka Apart Hotel,cleanliness,positive
AnkAkyaka Apart Hotel,room_facilities,positive
AnkAkyaka Apart Hotel,pool_beach,positive
AnkAkyaka Apart Hotel,breakfast_quality,positive
AnkAkyaka Apart Hotel,cleanliness,positive
AnkAkyaka Apart Hotel,room_facilities,positive
AnkAkyaka Apart Hotel,pool_beach,positive
AnkAkyaka Apart Hotel,breakfast_quality,positive
AnkAkyaka Apart Hotel,cleanliness,positive
AnkAkyaka Apart Hotel,room_facilities,positive
AnkAkyaka Apart Hotel,pool_beach,positive
AnkAkyaka Apart Hotel,breakfast_quality,positive
AnkAkyaka Apart Hotel,cleanliness,positive
AnkAkyaka Apart Hotel,room_facilities,positive
AnkAkyaka Apart Hotel,pool_beach,positive
AnkAkyaka Apart Hotel,breakfast_quality,positive
AnkAkyaka Apart Hotel,cleanliness,positive
AnkAkyaka Apart Hotel,room_facilities,positive
AnkAkyaka Apart Hotel,pool_beach,positive
AnkAkyaka Apart Hotel,breakfast_quality,positive
AnkAkyaka Apart Hotel,cleanliness,positive
AnkAkyaka Apart Hotel,room_facilities,positive
AnkAkyaka Apart Hotel,pool_beach,positive
AnkAkyaka Apart Hotel,breakfast_quality,positive
AnkAkyaka Apart Hotel,cleanliness,positive
AnkAkyaka Apart Hotel,room_facilities,negative
AnkAkyaka Apart Hotel,pool_beach,positive
AnkAkyaka Apart Hotel,breakfast_quality,positive
AnkAkyaka Apart Hotel,cleanliness,positive
AnkAkyaka Apart Hotel,room_facilities,positive
Panamara Otel,pool_beach,negative
Panamara Otel,breakfast_quality,negative
Panamara Otel,cleanliness,negative
Panamara Otel,room_facilities,negative
Panamara Otel,pool_beach,positive
Panamara Otel,breakfast_quality,positive
Panamara Otel,cleanliness,positive
Panamara Otel,room_facilities,positive
Panamara Otel,pool_beach,negative
Panamara Otel,breakfast_quality,negative
Panamara Otel,cleanliness,negative
Panamara Otel,room_facilities,neutral
Panamara Otel,pool_beach,positive
Panamara Otel,breakfast_quality,negative
Panamara Otel,cleanliness,positive
Panamara Otel,room_facilities,positive
Panamara Otel,pool_beach,positive
Panamara Otel,breakfast_quality,positive
Panamara Otel,cleanliness,positive
Panamara Otel,room_facilities,positive
Panamara Otel,pool_beach,positive
Panamara Otel,breakfast_quality,positive
Panamara Otel,cleanliness,positive
Panamara Otel,room_facilities,positive
Panamara Otel,pool_beach,positive
Panamara Otel,breakfast_quality,positive
Panamara Otel,cleanliness,positive
Panamara Otel,room_facilities,positive
Panamara Otel,pool_beach,positive
Panamara Otel,breakfast_quality,positive
Panamara Otel,cleanliness,positive
Panamara Otel,room_facilities,positive
Panamara Otel,pool_beach,positive
Panamara Otel,breakfast_quality,positive
Panamara Otel,cleanliness,positive
Panamara Otel,room_facilities,positive
Panamara Otel,pool_beach,negative
Panamara Otel,breakfast_quality,negative
Panamara Otel,cleanliness,negative
Panamara Otel,room_facilities,negative
Panamare Apart & Hotel Akyaka,pool_beach,negative
Panamare Apart & Hotel Akyaka,breakfast_quality,negative
Panamare Apart & Hotel Akyaka,cleanliness,negative
Panamare Apart & Hotel Akyaka,room_facilities,negative
Panamare Apart & Hotel Akyaka,pool_beach,negative
Panamare Apart & Hotel Akyaka,breakfast_quality,negative
Panamare Apart & Hotel Akyaka,cleanliness,negative
Panamare Apart & Hotel Akyaka,room_facilities,negative
Panamare Apart & Hotel Akyaka,pool_beach,negative
Panamare Apart & Hotel Akyaka,breakfast_quality,negative
Panamare Apart & Hotel Akyaka,cleanliness,negative
Panamare Apart & Hotel Akyaka,room_facilities,negative
Panamare Apart & Hotel Akyaka,pool_beach,positive
Panamare Apart & Hotel Akyaka,breakfast_quality,positive
Panamare Apart & Hotel Akyaka,cleanliness,positive
Panamare Apart & Hotel Akyaka,room_facilities,positive
Panamare Apart & Hotel Akyaka,pool_beach,positive
Panamare Apart & Hotel Akyaka,breakfast_quality,positive
Panamare Apart & Hotel Akyaka,cleanliness,positive
Panamare Apart & Hotel Akyaka,room_facilities,positive
Panamare Apart & Hotel Akyaka,pool_beach,negative
Panamare Apart & Hotel Akyaka,breakfast_quality,negative
Panamare Apart & Hotel Akyaka,cleanliness,negative
Panamare Apart & Hotel Akyaka,room_facilities,negative
Panamare Apart & Hotel Akyaka,pool_beach,positive
Panamare Apart & Hotel Akyaka,breakfast_quality,positive
Panamare Apart & Hotel Akyaka,cleanliness,positive
Panamare Apart & Hotel Akyaka,room_facilities,positive
Panamare Apart & Hotel Akyaka,pool_beach,positive
