hotel_name,author_name,language,review_text,processed_review,processed_final_review,hotel_overall_rating,review_rating
AnkAkyaka Apart Hotel,Nurten Ö.,tr,ucuz dar odada kaldık biliyorduk ihtiyacımız gece geçirebileceğimiz odaydı sebeple eğer öyle bi otel arıyorsanız ucuz oda yeterli oda gerçekten küçük yatak mini buzdolabi dışında büyük valiz açmak isteseniz açamazsınız banyo tuvalet yeterli dediğim gecesine verdiğiniz oda size kalmak için temel şartları sağlıyor yatak yastıklar vs rahat tuvalet banyo temizdi gece kaldık ikinci gece kalmak istesek oda gözümüze batabilirdi gece tolere edildi odada internet çekmiyor wifi şifresi talep edilebilir konum açısından her yere yürüme mesafesi,"we stayed in a cheap narrow room  we knew we needed a room where we could spend the night so if you are looking for such a hotel the cheap room is enough the room is really small the bed is really small except for the mini fridge if you want to open a large suitcase you can not open it the bathroom toilet is enough the room you give you for the night provides you with the basic conditions for staying the bed pillows comfortable toilet the bathroom was clean we stayed the night if we wanted to stay the second night the room could catch our eyes the night was tolerated the internet does not work in the room the wifi password can be requested location 
in terms of walking distance to everywhere",stay cheap narrow room know needed room could spend night look hotel cheap room enough room really small bed really small except mini fridge want open large suitcase not open bathroom toilet enough room give night provide with basic condition stay bed pillow comfortable toilet bathroom clean stay night want stay second night room could catch eye night tolerate internet not work room wifi password request location term walk distance everywhere,4,5
AnkAkyaka Apart Hotel,Semih Ceyhan,tr,konumu güzel odaları geniş eski tuvaletler kokuyordu personelin tavrı değişik telefonda konuşup anlaştığımız fiyatın üstünde fiyat söylediler yalancı muamelesi yapıp atar arkadaş yalan söylüyorum zaman atarlandı fiyatı düşükten aldı sonuçta üslup rahatsız ediciydi üzücü moral bozucu deneyimdi sebeple düşük verdim fazla hak eder akyakada apart başkasını tercih edebilirsiniz,location beautiful room spacious toilet smelly attitude staff different talked phone said price price agreed treated liar friend threw lying took price low style disturbing style disturbing sad demoralizing experience gave low reason deserves choose another apart akyakada,location beautiful room spacious toilet smelly attitude staff different talk phone say price price agree treat liar friend throw lie take price low style disturb style disturb sad demoralize experience give low reason deserves choose another apart akyaka,4,2
AnkAkyaka Apart Hotel,Şemsi Aksel,tr,bütçeye uygun liralık odada kalmakla aynı kaldık ferah çift balkon tertemizdi valizde açamadık diyenler tutacak yada apartın odaları dar ambiyans yaratmayacak yaş oğlumla rahat ettik güven içinde gelebilirsiniz teşekkürler ankakyaka apart hotel,budget lyric room stay room stayed spacious double balcony immaculate suitcase could open say keep aparts room create narrow ambience age comfortable son confidence thanks ankakyaka apart hotel,budget lyric room stay room stay spacious double balcony immaculate suitcase could open say keep aparts room create narrow ambience age comfortable son confidence thank ankakyaka apart hotel,4,5
AnkAkyaka Apart Hotel,ilayda ülker,tr,eylül aile konaklama yaptık memnun kaldık apart tertemizdi çalışanlar ilgiliydi apartın malzemeleri temizdi düşünülmüştü memnun kaldık teşekkür ederiz fethiye’den selamlar,september family accommodation satisfied satisfied apartment immaculate employee interested material apartment clean thoughtful satisfied thank greeting fethiye,september family accommodation satisfy satisfied apartment immaculate employee interested material apartment clean thoughtful satisfy thank greeting fethiye,4,5
AnkAkyaka Apart Hotel,Viktor Thiessen,tr,ankakyaka otel’de konaklamam harikaydı fiyatı uygun olmasına sunduğu temizlik kalite gerçekten yıldızı hak odalar modern özenle temizlenmişti personelin güler yüzlülüğü ilgisi tatil deneyimimi güzelleştirdi akyaka’nın doğal güzelliğiyle birleşen huzurlu atmosferi geçirilen zamanı unutulmaz kılıyor uygun fiyatlı temiz konforlu konaklama arayan herkese gönül rahatlığıyla tavsiye ederim,stay ankakyaka hotel great price affordable cleanliness quality offer really deserves star room cleaned modern care attention staff friendliness enhanced holiday experience peaceful atmosphere combined natural beauty akyaka make time spent unforgettable would recommend peace mind anyone looking affordable clean comfortable accommodation,stay ankakyaka hotel great price affordable cleanliness quality offer really deserve star room clean modern care attention staff friendliness enhance holiday experience peaceful atmosphere combine natural beauty akyaka make time spend unforgettable would recommend peace mind anyone look affordable clean comfortable accommodation,4,5
AnkAkyaka Apart Hotel,Faysal Motovlogs,en,good experience room centre minutes walking everything like restaurant shops banks departmental stores view outside building amazing due amazing nature want see room tour hotel released soon please check youtube subscribe motovlogger travel inside turkey different locations moodylens best regards,good experience room centre walking everything like restaurant shop bank departmental store view outside building amazing due amazing nature want see room tour hotel released soon please check youtube subscribe motovlogger travel inside turkey different location moody lens best regard,good experience room centre walk everything like restaurant shop bank departmental store view outside building amaze due amazing nature want see room tour hotel release soon please check youtube subscribe motovlogger travel inside turkey different location moody lens best regard,4,3
AnkAkyaka Apart Hotel,Fritschi Freeride,en,staying ankakyaka nice clean place sleep series option choose double bedded rooms kitchen balcony big rooms small rooms double bed minimalistic style stuff got along nicely even though speaking language nice warm morning smile pass someone getting chance use kitchen therefore make use local fishmarket nice respectful friendly owner son kind helpful im simple person doesnt need much even ankakyaka get great value money invest id like stay day minimalistic rooms also perfect needs im already looking forward another visit ankakyaka greetings best form ceto room could use better scent really minor problem major,staying ankakyaka nice clean place sleep series option choose double bedded room kitchen balcony big room small room double bed minimalistic style stuff got along nicely even though speaking language nice warm morning smile pas someone getting chance use kitchen therefore make use local fish market nice respectful friendly owner son kind helpful simple person doesnt need much even ankakyaka get great value money invest like stay day minimalistic room also perfect need already looking forward another visit ankakyaka greeting best form room could use better scent really minor problem major,stay ankakyaka nice clean place sleep series option choose double bedded room kitchen balcony big room small room double bed minimalistic style stuff get along nicely even though speaking language nice warm morning smile pa someone get chance use kitchen therefore make use local fish market nice respectful friendly owner son kind helpful simple person not need much even ankakyaka get great value money invest like stay day minimalistic room also perfect need already look forward another visit ankakyaka greet best form room could use good scent really minor problem major,4,5
AnkAkyaka Apart Hotel,Zarrina Çebi,en,nice place stay love balcony apartments everything need close river beach shopping stores nearby,nice place stay love balcony apartment everything need close river beach shopping store nearby,nice place stay love balcony apartment everything need close river beach shopping store nearby,4,5
AnkAkyaka Apart Hotel,Anton van A,en,small room really small lol friendly staff convinient stay recommended,small room really small lol friendly staff convenient stay recommended,small room really small lol friendly staff convenient stay recommend,4,5
AnkAkyaka Apart Hotel,Akin Turan,en,wow decent showers höt hot water needed hard find others decent,wow decent shower hot water needed hard find others decent,wow decent shower hot water need hard find others decent,4,5
