hotel_name,aspect,pos_ratio
APART 48,Accommodation & Facilities,0.7
APART 48,Beach & Water,0.7
APART 48,Leisure & Meals,0.6
APART 48,Service & Social Experience,0.7
APART 48,food,0.7
APART 48,location,0.5
APART 48,price,0.7
APART 48,room,0.7
APART 48,service,0.7
Acar Pansiyon,Accommodation & Facilities,1.0
Acar Pansiyon,Beach & Water,0.9
Acar Pansiyon,Leisure & Meals,0.9
Acar Pansiyon,Service & Social Experience,0.9
Acar Pansiyon,food,0.9
Acar Pansiyon,location,0.9
Acar Pansiyon,price,1.0
Acar Pansiyon,room,1.0
Acar Pansiyon,service,1.0
Akasya Apart Otel (Akyaka),Accommodation & Facilities,1.0
Akasya Apart Otel (Akyaka),Beach & Water,1.0
Akasya Apart Otel (Akyaka),Leisure & Meals,1.0
Akasya Apart Otel (Akyaka),Service & Social Experience,1.0
Akasya Apart Otel (Akyaka),food,1.0
Akasya Apart Otel (Akyaka),location,1.0
Akasya Apart Otel (Akyaka),price,1.0
Akasya Apart Otel (Akyaka),room,1.0
Akasya Apart Otel (Akyaka),service,1.0
Akyaka Apart Konaklama,Accommodation & Facilities,1.0
Akyaka Apart Konaklama,Beach & Water,0.9
Akyaka Apart Konaklama,Leisure & Meals,1.0
Akyaka Apart Konaklama,Service & Social Experience,1.0
Akyaka Apart Konaklama,food,1.0
Akyaka Apart Konaklama,location,1.0
Akyaka Apart Konaklama,price,1.0
Akyaka Apart Konaklama,room,1.0
Akyaka Apart Konaklama,service,1.0
Akyaka Apart Pansiyon,Accommodation & Facilities,0.3
Akyaka Apart Pansiyon,Beach & Water,0.4
Akyaka Apart Pansiyon,Leisure & Meals,0.4
Akyaka Apart Pansiyon,Service & Social Experience,0.4
Akyaka Apart Pansiyon,food,0.4
Akyaka Apart Pansiyon,location,0.4
Akyaka Apart Pansiyon,price,0.4
Akyaka Apart Pansiyon,room,0.4
Akyaka Apart Pansiyon,service,0.3
Akyaka Azmak Apart,Accommodation & Facilities,0.8
Akyaka Azmak Apart,Beach & Water,0.8
Akyaka Azmak Apart,Leisure & Meals,0.8
Akyaka Azmak Apart,Service & Social Experience,0.8
Akyaka Azmak Apart,food,0.8
Akyaka Azmak Apart,location,0.8
Akyaka Azmak Apart,price,0.8
Akyaka Azmak Apart,room,0.8
Akyaka Azmak Apart,service,0.8
Akyaka Kaya Delsol Otel,Accommodation & Facilities,0.8
Akyaka Kaya Delsol Otel,Beach & Water,0.8
Akyaka Kaya Delsol Otel,Leisure & Meals,0.8
Akyaka Kaya Delsol Otel,Service & Social Experience,0.8
Akyaka Kaya Delsol Otel,food,0.8
Akyaka Kaya Delsol Otel,location,0.8
Akyaka Kaya Delsol Otel,price,0.8
Akyaka Kaya Delsol Otel,room,0.8
Akyaka Kaya Delsol Otel,service,0.8
Akyaka Tatil Apart,Accommodation & Facilities,0.9
Akyaka Tatil Apart,Beach & Water,0.9
Akyaka Tatil Apart,Leisure & Meals,0.9
Akyaka Tatil Apart,Service & Social Experience,0.8
Akyaka Tatil Apart,food,0.9
Akyaka Tatil Apart,location,0.9
Akyaka Tatil Apart,price,1.0
Akyaka Tatil Apart,room,0.9
Akyaka Tatil Apart,service,0.8
Akyaka Villa Marine Otel & Restoran,Accommodation & Facilities,1.0
Akyaka Villa Marine Otel & Restoran,Beach & Water,1.0
Akyaka Villa Marine Otel & Restoran,Leisure & Meals,1.0
Akyaka Villa Marine Otel & Restoran,Service & Social Experience,1.0
Akyaka Villa Marine Otel & Restoran,food,1.0
Akyaka Villa Marine Otel & Restoran,location,1.0
Akyaka Villa Marine Otel & Restoran,price,1.0
Akyaka Villa Marine Otel & Restoran,room,1.0
Akyaka Villa Marine Otel & Restoran,service,1.0
Akyaka Yali Capkini,Accommodation & Facilities,1.0
