hotel_name,smile_lr,overall,avg_rev,smile_n,overall_n,avgrev_n,face_score,face_emoji
APART 48,1.0,4.5,3.3,1.0,0.7727272727272727,0.575,0.8468181818181818,😄
Acar Pansiyon,1.0,5.0,5.0,1.0,0.9999999999999998,1.0,1.0,😄
Akasya Apart Otel (Akyaka),1.0,4.7,5.0,1.0,0.8636363636363635,1.0,0.959090909090909,😄
Akyaka Apart Konaklama,1.0,4.5,5.0,1.0,0.7727272727272727,1.0,0.9318181818181819,😄
Akyaka Apart Pansiyon,0.5,4.1,1.8,0.5,0.5909090909090906,0.2,0.4672727272727272,😐
Akyaka Azmak Apart,0.9,4.3,3.8,0.9,0.6818181818181817,0.7,0.7945454545454546,😄
Akyaka Kaya Delsol Otel,1.0,4.7,4.7,1.0,0.8636363636363635,0.925,0.9440909090909091,😄
Akyaka Tatil Apart,1.0,4.4,4.3,1.0,0.7272727272727273,0.825,0.8831818181818182,😄
Akyaka Villa Marine Otel & Restoran,1.0,4.8,4.8,1.0,0.909090909090909,0.95,0.9627272727272727,😄
Akyaka Yali Capkini,1.0,4.7,4.8,1.0,0.8636363636363635,0.95,0.949090909090909,😄
Akyaka Yeşil Apart,1.0,4.5,4.6,1.0,0.7727272727272727,0.8999999999999999,0.9118181818181819,😄
Akyaka Zeytin Apart,1.0,4.9,5.0,1.0,0.9545454545454548,1.0,0.9863636363636363,😄
Akyaka apart mera,0.9,4.5,3.4,0.9,0.7727272727272727,0.6,0.8018181818181819,😄
Akyaka Özgem Apart Otel,1.0,4.9,5.0,1.0,0.9545454545454548,1.0,0.9863636363636363,😄
Ala Butik Hotel,1.0,4.4,4.9,1.0,0.7272727272727273,0.9750000000000001,0.9131818181818182,😄
Alp Suites Lavanta,1.0,4.8,4.8,1.0,0.909090909090909,0.95,0.9627272727272727,😄
Alp Suites Mandalin,1.0,4.9,4.9,1.0,0.9545454545454548,0.9750000000000001,0.9813636363636364,😄
Alp Suites Pinehill,1.0,4.8,4.9,1.0,0.909090909090909,0.9750000000000001,0.9677272727272728,😄
Alp Suites Safran,1.0,4.6,5.0,1.0,0.8181818181818181,1.0,0.9454545454545453,😄
Amber Suites Akyaka,1.0,4.9,4.8,1.0,0.9545454545454548,0.95,0.9763636363636363,😄
Anayurt Oteli Akyaka,0.4,4.2,2.6,0.4,0.6363636363636365,0.4,0.470909090909091,😐
AnkAkyaka Apart Hotel,0.8,4.0,4.5,0.8,0.5454545454545454,0.875,0.7386363636363636,😄
Ayka Otel,1.0,4.6,4.8,1.0,0.8181818181818181,0.95,0.9354545454545453,😄
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,0.8,4.6,4.2,0.8,0.8181818181818181,0.8,0.8054545454545455,😄
BEACON HILL SUITES,1.0,4.9,4.9,1.0,0.9545454545454548,0.9750000000000001,0.9813636363636364,😄
Balèze Boutique Hotel,1.0,4.9,4.7,1.0,0.9545454545454548,0.925,0.9713636363636364,😄
Berlin Apart pansiyo,0.3,3.5,3.0,0.3,0.3181818181818181,0.5,0.34545454545454546,😐
Can Apart ( Akyaka ),1.0,4.8,5.0,1.0,0.909090909090909,1.0,0.9727272727272727,😄
Carissa Otel,1.0,4.4,4.7,1.0,0.7272727272727273,0.925,0.9031818181818182,😄
Ceylan Apart,1.0,4.5,4.0,1.0,0.7727272727272727,0.75,0.8818181818181818,😄
Cumba Apart,1.0,4.6,4.2,1.0,0.8181818181818181,0.8,0.9054545454545454,😄
Dedeoğlu Apart,0.8,4.0,4.2,0.8,0.5454545454545454,0.8,0.7236363636363636,😄
Deger Apart Akyaka,1.0,4.9,5.0,1.0,0.9545454545454548,1.0,0.9863636363636363,😄
Demircioğlu Park Hotel,0.9,4.2,4.3,0.9,0.6363636363636365,0.825,0.805909090909091,😄
Dinlen Apart Otel,0.0,2.8,1.0,0.0,0.0,0.0,0.0,😞
Egehan Otel,0.7,3.6,3.5,0.7,0.36363636363636354,0.625,0.584090909090909,😐
Elçin Kız Öğrenci Apartı,1.0,4.9,5.0,1.0,0.9545454545454548,1.0,0.9863636363636363,😄
Erdem Otel,0.8,4.3,4.5,0.8,0.6818181818181817,0.875,0.7795454545454545,😄
Ersöz Butik Otel,0.8,3.9,4.1,0.8,0.5,0.7749999999999999,0.7050000000000001,😄
Esen Apart,1.0,4.8,5.0,1.0,0.909090909090909,1.0,0.9727272727272727,😄
Fabric Otel Akyaka,0.4,3.4,3.5,0.4,0.2727272727272727,0.625,0.4068181818181818,😐
Feron Otel,1.0,4.5,4.0,1.0,0.7727272727272727,0.75,0.8818181818181818,😄
Gaye Apart Hotel,0.7,4.0,3.3,0.7,0.5454545454545454,0.575,0.6286363636363635,😐
Gokturk Otel,0.7,4.1,3.9,0.7,0.5909090909090906,0.725,0.6722727272727271,😄
Gökova Şemkin Apart,1.0,5.0,5.0,1.0,0.9999999999999998,1.0,1.0,😄
Göktürk Butik Otel,1.0,5.0,5.0,1.0,0.9999999999999998,1.0,1.0,😄
Gülemce Apart & Villas,1.0,4.8,5.0,1.0,0.909090909090909,1.0,0.9727272727272727,😄
Gülzade Konak Apart,0.7,4.4,3.6,0.7,0.7272727272727273,0.65,0.6981818181818181,😄
Günışığı Apart,1.0,4.5,4.6,1.0,0.7727272727272727,0.8999999999999999,0.9118181818181819,😄
HAFIZOĞLU OTEL,1.0,4.5,5.0,1.0,0.7727272727272727,1.0,0.9318181818181819,😄
Hamle Hotel,0.7,4.0,4.0,0.7,0.5454545454545454,0.75,0.6636363636363636,😄
Hotel Azmakhan,0.6,4.0,3.1,0.6,0.5454545454545454,0.525,0.5686363636363636,😐
Hotel Caretta,1.0,4.4,4.6,1.0,0.7272727272727273,0.8999999999999999,0.8981818181818182,😄
Hotel Grand Azmakhan Spa & Wellness,0.1,3.7,1.7,0.1,0.40909090909090917,0.175,0.20772727272727273,😞
Hotel Yalçın,1.0,4.3,4.5,1.0,0.6818181818181817,0.875,0.8795454545454545,😄
Huzur Apart Otel,0.9,4.4,4.4,0.9,0.7272727272727273,0.8500000000000001,0.8381818181818183,😄
Huzur Han Otel,1.0,4.7,4.6,1.0,0.8636363636363635,0.8999999999999999,0.939090909090909,😄
Keramos Pansiyon Akyaka,1.0,4.7,5.0,1.0,0.8636363636363635,1.0,0.959090909090909,😄
Kerme Ottoman Gökova,0.8,4.0,3.3,0.8,0.5454545454545454,0.575,0.6786363636363636,😄
Kerme Ottoman Palace,0.5,4.1,2.3,0.5,0.5909090909090906,0.32499999999999996,0.49227272727272714,😐
Kiraz Cicegi Butik Otel Akyaka,0.5,4.3,3.7,0.5,0.6818181818181817,0.675,0.5895454545454545,😐
Koparan Apart,0.7,4.3,3.7,0.7,0.6818181818181817,0.675,0.6895454545454545,😄
Kordon Otel & Apart Akyaka Ula Muğla,0.9,4.4,4.5,0.9,0.7272727272727273,0.875,0.8431818181818183,😄
KÖRFEZ OTEL & RESTAURANT,0.4,3.3,2.6,0.4,0.22727272727272707,0.4,0.34818181818181815,😐
Lacivert Otel Akyaka,1.0,4.8,4.8,1.0,0.909090909090909,0.95,0.9627272727272727,😄
Lena Apart,1.0,4.8,5.0,1.0,0.909090909090909,1.0,0.9727272727272727,😄
Limon Apart,1.0,4.3,4.9,1.0,0.6818181818181817,0.9750000000000001,0.8995454545454545,😄
Limon Otel,1.0,4.5,4.4,1.0,0.7727272727272727,0.8500000000000001,0.9018181818181819,😄
Liya Boutique Hotel & Suites / Villa Yonca,1.0,4.9,5.0,1.0,0.9545454545454548,1.0,0.9863636363636363,😄
