hotel_name,image_url
APART 48,https://images.unsplash.com/photo-1606222651797-dc3116801261?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBUEFSVCUyMDQ4fGVufDB8fHx8MTc0Nzg2MzQwMHww&ixlib=rb-4.1.0&q=80&w=1080
Acar Pansiyon,https://images.unsplash.com/photo-1506744038136-46273834b3fb
Akasya Apart Otel (Akyaka),https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa2FzeWElMjBBcGFydCUyME90ZWwlMjAlMjhBa3lha2ElMjl8ZW58MHx8fHwxNzQ3ODYzNDAyfDA&ixlib=rb-4.1.0&q=80&w=1080
Akyaka Apart Konaklama,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjBBcGFydCUyMEtvbmFrbGFtYXxlbnwwfHx8fDE3NDc4NjM0MDR8MA&ixlib=rb-4.1.0&q=80&w=1080
Akyaka Apart Pansiyon,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjBBcGFydCUyMFBhbnNpeW9ufGVufDB8fHx8MTc0Nzg2MzQwNXww&ixlib=rb-4.1.0&q=80&w=1080
Akyaka Azmak Apart,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjBBem1hayUyMEFwYXJ0fGVufDB8fHx8MTc0Nzg2MzQwNnww&ixlib=rb-4.1.0&q=80&w=1080
Akyaka Kaya Delsol Otel,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjBLYXlhJTIwRGVsc29sJTIwT3RlbHxlbnwwfHx8fDE3NDc4NjM0MDd8MA&ixlib=rb-4.1.0&q=80&w=1080
Akyaka Tatil Apart,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjBUYXRpbCUyMEFwYXJ0fGVufDB8fHx8MTc0Nzg2MzQwOHww&ixlib=rb-4.1.0&q=80&w=1080
Akyaka Villa Marine Otel & Restoran,https://images.unsplash.com/photo-1561486462-89834a03cb72?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjBWaWxsYSUyME1hcmluZSUyME90ZWwlMjB8ZW58MHx8fHwxNzQ3ODYzNDEwfDA&ixlib=rb-4.1.0&q=80&w=1080
Akyaka Yali Capkini,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjBZYWxpJTIwQ2Fwa2luaXxlbnwwfHx8fDE3NDc4NjM0MTJ8MA&ixlib=rb-4.1.0&q=80&w=1080
Akyaka Yeşil Apart,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjBZZSVDNSU5RmlsJTIwQXBhcnR8ZW58MHx8fHwxNzQ3ODYzNDEzfDA&ixlib=rb-4.1.0&q=80&w=1080
Akyaka Zeytin Apart,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjBaZXl0aW4lMjBBcGFydHxlbnwwfHx8fDE3NDc4NjM0MTR8MA&ixlib=rb-4.1.0&q=80&w=1080
Akyaka apart mera,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjBhcGFydCUyMG1lcmF8ZW58MHx8fHwxNzQ3ODYzNDE1fDA&ixlib=rb-4.1.0&q=80&w=1080
Akyaka Özgem Apart Otel,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBa3lha2ElMjAlQzMlOTZ6Z2VtJTIwQXBhcnQlMjBPdGVsfGVufDB8fHx8MTc0Nzg2MzQxNnww&ixlib=rb-4.1.0&q=80&w=1080
Ala Butik Hotel,https://images.unsplash.com/photo-1445991842772-097fea258e7b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBbGElMjBCdXRpayUyMEhvdGVsfGVufDB8fHx8MTc0Nzg2MzQxOXww&ixlib=rb-4.1.0&q=80&w=1080
Alp Suites Lavanta,https://images.unsplash.com/photo-1526028084906-e452e1b1c737?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBbHAlMjBTdWl0ZXMlMjBMYXZhbnRhfGVufDB8fHx8MTc0Nzg2MzQyMXww&ixlib=rb-4.1.0&q=80&w=1080
Alp Suites Mandalin,https://images.unsplash.com/photo-1526028084906-e452e1b1c737?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBbHAlMjBTdWl0ZXMlMjBNYW5kYWxpbnxlbnwwfHx8fDE3NDc4NjM0MjJ8MA&ixlib=rb-4.1.0&q=80&w=1080
