hotel_name,breakfast_quality,cleanliness,pool_beach,room_facilities,overall_rating,subaspect_pca1
APART 48,0.7,0.7,0.7,0.7,4.5,0.15217429288067352
Acar Pansiyon,0.9,1.0,0.9,1.0,5.0,-0.3467470677524345
Akasya Apart Otel (Akyaka),1.0,1.0,1.0,1.0,4.7,-0.4476124587445623
Akyaka Apart Konaklama,1.0,1.0,1.0,1.0,4.5,-0.4476124587445622
Akyaka Apart Pansiyon,0.4,0.3,0.4,0.3,4.1,0.851024570722193
Akyaka Azmak Apart,0.8,0.8,0.8,0.8,4.3,-0.047754624327738734
Akyaka Kaya Delsol Otel,0.8,0.8,0.8,0.8,4.7,-0.047754624327738734
Akyaka Tatil Apart,0.9,0.9,0.8,0.9,4.4,-0.19579387218667885
Akyaka Villa Marine Otel & Restoran,1.0,1.0,1.0,1.0,4.8,-0.4476124587445622
Akyaka Yali Capkini,1.0,1.0,1.0,1.0,4.7,-0.4476124587445622
Akyaka Yeşil Apart,1.0,1.0,0.9,1.0,4.5,-0.3957227893950906
Akyaka Zeytin Apart,1.0,1.0,1.0,1.0,4.9,-0.4476124587445622
Akyaka apart mera,0.3,0.6,0.3,0.4,4.5,0.7557876518240874
Akyaka Özgem Apart Otel,1.0,1.0,1.0,1.0,4.9,-0.4476124587445622
Ala Butik Hotel,1.0,1.0,1.0,1.0,4.4,-0.4476124587445622
Alp Suites Lavanta,0.7,0.7,0.5,0.8,4.8,0.2054094972003071
Alp Suites Mandalin,0.9,1.0,1.0,0.9,4.9,-0.3480926027225968
Alp Suites Pinehill,0.9,0.9,0.8,0.9,4.8,-0.19579387218667885
Alp Suites Safran,0.9,1.0,0.9,0.9,4.6,-0.2962029333731251
Amber Suites Akyaka,0.9,1.0,1.0,1.0,4.9,-0.3986367371019064
Anayurt Oteli Akyaka,0.5,0.5,0.5,0.4,4.2,0.6025762616768066
AnkAkyaka Apart Hotel,0.8,0.8,0.8,0.7,4.0,0.0027895100515709006
Ayka Otel,0.9,1.0,0.7,0.8,4.6,-0.14187946029487203
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,0.8,0.8,0.8,0.8,4.6,-0.047754624327738734
BEACON HILL SUITES,0.9,1.0,1.0,0.9,4.9,-0.3480926027225968
Balèze Boutique Hotel,0.9,1.0,1.0,1.0,4.9,-0.3986367371019064
Berlin Apart pansiyo,0.3,0.4,0.3,0.3,3.5,0.903370569877346
Can Apart ( Akyaka ),1.0,1.0,0.9,0.9,4.8,-0.345178655015781
Carissa Otel,0.8,0.8,0.8,0.9,4.4,-0.0982987587070483
Ceylan Apart,0.6,1.0,0.6,0.8,4.5,0.056937373982567666
Cumba Apart,0.7,0.8,0.7,0.7,4.6,0.10365490104369869
Dedeoğlu Apart,0.8,0.8,0.8,0.8,4.0,-0.047754624327738734
Deger Apart Akyaka,0.9,1.0,0.9,1.0,4.9,-0.34674706775243463
