hotel_name,aspect,pos_ratio
APART 48,breakfast_quality,0.7
APART 48,cleanliness,0.7
APART 48,pool_beach,0.7
APART 48,room_facilities,0.7
Acar Pansiyon,breakfast_quality,0.9
Acar Pansiyon,cleanliness,1.0
Acar Pansiyon,pool_beach,0.9
Acar Pansiyon,room_facilities,1.0
Akasya Apart Otel (Akyaka),breakfast_quality,1.0
Akasya Apart Otel (Akyaka),cleanliness,1.0
Akasya Apart Otel (Akyaka),pool_beach,1.0
Akasya Apart Otel (Akyaka),room_facilities,1.0
Akyaka Apart Konaklama,breakfast_quality,1.0
Akyaka Apart Konaklama,cleanliness,1.0
Akyaka Apart Konaklama,pool_beach,1.0
Akyaka Apart Konaklama,room_facilities,1.0
Akyaka Apart Pansiyon,breakfast_quality,0.4
Akyaka Apart Pansiyon,cleanliness,0.3
Akyaka Apart Pansiyon,pool_beach,0.4
Akyaka Apart Pansiyon,room_facilities,0.3
Akyaka Azmak Apart,breakfast_quality,0.8
Akyaka Azmak Apart,cleanliness,0.8
Akyaka Azmak Apart,pool_beach,0.8
Akyaka Azmak Apart,room_facilities,0.8
Akyaka Kaya Delsol Otel,breakfast_quality,0.8
Akyaka Kaya Delsol Otel,cleanliness,0.8
Akyaka Kaya Delsol Otel,pool_beach,0.8
Akyaka Kaya Delsol Otel,room_facilities,0.8
Akyaka Tatil Apart,breakfast_quality,0.9
Akyaka Tatil Apart,cleanliness,0.9
Akyaka Tatil Apart,pool_beach,0.8
Akyaka Tatil Apart,room_facilities,0.9
Akyaka Villa Marine Otel & Restoran,breakfast_quality,1.0
Akyaka Villa Marine Otel & Restoran,cleanliness,1.0
Akyaka Villa Marine Otel & Restoran,pool_beach,1.0
Akyaka Villa Marine Otel & Restoran,room_facilities,1.0
Akyaka Yali Capkini,breakfast_quality,1.0
Akyaka Yali Capkini,cleanliness,1.0
Akyaka Yali Capkini,pool_beach,1.0
Akyaka Yali Capkini,room_facilities,1.0
Akyaka Yeşil Apart,breakfast_quality,1.0
Akyaka Yeşil Apart,cleanliness,1.0
Akyaka Yeşil Apart,pool_beach,0.9
Akyaka Yeşil Apart,room_facilities,1.0
Akyaka Zeytin Apart,breakfast_quality,1.0
Akyaka Zeytin Apart,cleanliness,1.0
Akyaka Zeytin Apart,pool_beach,1.0
Akyaka Zeytin Apart,room_facilities,1.0
Akyaka apart mera,breakfast_quality,0.3
Akyaka apart mera,cleanliness,0.6
Akyaka apart mera,pool_beach,0.3
Akyaka apart mera,room_facilities,0.4
Akyaka Özgem Apart Otel,breakfast_quality,1.0
Akyaka Özgem Apart Otel,cleanliness,1.0
Akyaka Özgem Apart Otel,pool_beach,1.0
Akyaka Özgem Apart Otel,room_facilities,1.0
Ala Butik Hotel,breakfast_quality,1.0
Ala Butik Hotel,cleanliness,1.0
Ala Butik Hotel,pool_beach,1.0
Ala Butik Hotel,room_facilities,1.0
Alp Suites Lavanta,breakfast_quality,0.7
Alp Suites Lavanta,cleanliness,0.7
Alp Suites Lavanta,pool_beach,0.5
Alp Suites Lavanta,room_facilities,0.8
Alp Suites Mandalin,breakfast_quality,0.9
Alp Suites Mandalin,cleanliness,1.0
Alp Suites Mandalin,pool_beach,1.0
Alp Suites Mandalin,room_facilities,0.9
Alp Suites Pinehill,breakfast_quality,0.9
Alp Suites Pinehill,cleanliness,0.9
Alp Suites Pinehill,pool_beach,0.8
Alp Suites Pinehill,room_facilities,0.9
Alp Suites Safran,breakfast_quality,0.9
Alp Suites Safran,cleanliness,1.0
Alp Suites Safran,pool_beach,0.9
Alp Suites Safran,room_facilities,0.9
Amber Suites Akyaka,breakfast_quality,0.9
Amber Suites Akyaka,cleanliness,1.0
Amber Suites Akyaka,pool_beach,1.0
Amber Suites Akyaka,room_facilities,1.0
Anayurt Oteli Akyaka,breakfast_quality,0.5
Anayurt Oteli Akyaka,cleanliness,0.5
Anayurt Oteli Akyaka,pool_beach,0.5
Anayurt Oteli Akyaka,room_facilities,0.4
AnkAkyaka Apart Hotel,breakfast_quality,0.8
AnkAkyaka Apart Hotel,cleanliness,0.8
AnkAkyaka Apart Hotel,pool_beach,0.8
